סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
497,טייבה (בעמק),הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,הגלבוע,רמת כוכב,"1,810",5,5,"1,805",
2720,טירה,המרכז,השרון,יישובים לא יהודיים 49999-20000 תושבים,עירייה,מזרח השרון,"25,721",59,19,"25,662",
663,טירת יהודה,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,"1,195","1,195","1,195",-,
2100,טירת כרמל,חיפה,חיפה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור חיפה,"21,256","21,187","20,284",69,
268,טירת צבי,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,801,801,801,-,
462,טל שחר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,362","1,362","1,344",-,
1181,טל-אל,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,"1,155","1,155","1,123",-,
1177,טללים,הדרום,באר שבע,קיבוצים,רמת נגב,הר הנגב הצפוני,479,480,465,-,
3788,טלמון,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"4,058","4,058","4,057",-,
8900,טמרה,הצפון,עכו,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור שפרעם,"33,380",41,19,"33,339",
547,טמרה (יזרעאל),הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,הגלבוע,רמת כוכב,"1,553",-,-,"1,553",
3743,טנא,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,799,799,789,-,
1214,טפחות,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מזרחי,463,463,463,-,
1295,יאנוח-ג'ת,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור יחיעם,"6,466",2,2,"6,464",
1232,יבול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,345,345,343,-,
46,יבנאל,הצפון,כנרת,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"4,281","4,280","4,217",1,
2660,יבנה,המרכז,רחובות,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור רחובות,"45,483","45,432","44,241",51,
96,יגור,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,"1,561","1,562","1,464",-,
798,יגל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,עמק לוד,אזור רמלה,946,946,945,-,
577,יד בנימין,המרכז,רחובות,יישובים יהודיים 4999-2000 תושבים,נחל שורק,אזור רחובות,"4,049","4,049","4,047",-,
1134,יד השמונה,ירושלים,ירושלים,מושבים שיתופיים,מטה יהודה,הרי יהודה,280,281,125,-,
758,יד חנה,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,905,904,885,1,
358,יד מרדכי,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,748,749,724,-,
775,יד נתן,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,626,624,617,1,
64,"יד רמב""ם",המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,"1,085","1,084","1,066",1,
1144,ידידה,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,הרי יהודה,212,212,211,-,
9400,יהוד,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"29,689","29,651","29,162",38,
1158,יהל,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,206,206,193,-,
2009,יובל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,עמק חולה,617,617,616,-,
1226,יובלים,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,131","1,132","1,123",-,
1112,יודפת,הצפון,עכו,מושבים שיתופיים,משגב,אזור שפרעם,829,827,793,2,
4007,יונתן,הצפון,גולן,מושבים שיתופיים,גולן,גולן תיכוני,668,668,666,-,
803,יושיביה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,608,608,608,1,
452,יזרעאל,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק יזרעאל,568,569,546,-,
409,יחיעם,הצפון,עכו,קיבוצים,מטה אשר,אזור יחיעם,663,662,645,1,
866,יטבתה,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,667,667,648,-,
3607,"ייט""ב",יהודה והשומרון,,מושבים שיתופיים,ערבות הירדן,,327,327,306,-,
811,יכיני,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שער הנגב,אזור אשקלון,692,692,686,1,
1772,ים המלח - בתי מלון,הדרום,באר שבע,מוקד תעסוקה,תמר,אזור ים המלח,-,-,-,-,
753,ינוב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,926,925,914,-,
2011,ינון,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,127","1,120","1,120",7,
29,יסוד המעלה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מועצה מקומית,עמק חולה,"1,697","1,698","1,659",-,
440,יסודות,המרכז,רחובות,מושבים שיתופיים,נחל שורק,אזור רחובות,882,882,882,-,
575,יסעור,הצפון,עכו,קיבוצים,מטה אשר,אזור עכו,839,834,819,5,
1138,יעד,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,משגב,אזור שפרעם,709,709,708,-,
1117,יעל,הצפון,יזרעאל,מקום,הגלבוע,עמק יזרעאל,-,-,-,-,
1044,יעף,המרכז,השרון,יישובים כפריים אחרים יהודיים,לב השרון,מערב השרון,308,308,306,-,
795,יערה,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,742,618,601,124,
499,יפיע,הצפון,,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"18,676",7,2,"18,670",
3566,יפית,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,164,165,163,-,
134,יפעת,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,"1,164","1,163","1,138",1,
453,יפתח,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,520,520,483,-,
3749,יצהר,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,553","1,553","1,553",-,
759,יציץ,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,805,805,793,-,
417,יקום,המרכז,השרון,קיבוצים,חוף השרון,מערב השרון,733,733,704,-,
3647,יקיר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,056","2,056","2,048",-,
241,יקנעם (מושבה),הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,מגידו,אזור יקנעם,"1,367","1,368","1,347",-,
240,יקנעם עילית,הצפון,יזרעאל,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור יקנעם,"22,746","22,729","20,827",17,
623,יראון,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,390,391,344,-,
2026,ירדנה,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק המעיינות,עמק בית שאן,360,360,360,-,
831,ירוחם,הדרום,באר שבע,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,הר הנגב הצפוני,"9,511","9,203","8,545",308,
3000,ירושלים,ירושלים,ירושלים,יישובים יהודיים 500000 תושבים ומעלה,עירייה,הרי יהודה,"901,302","559,848","546,106","341,453",
718,ירחיב,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,005","1,005","1,001",-,
502,ירכא,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור יחיעם,"16,747",94,81,"16,652",
183,ירקונה,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,368,368,366,-,
916,ישע,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,394,394,384,-,
805,ישעי,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,767,767,767,-,
828,ישרש,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,"1,007","1,007","1,002",-,
1227,יתד,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,420,419,407,-,
504,כאבול,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"13,649",13,5,"13,637",
505,כאוכב אבו אל-היג'א,הצפון,עכו,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,אזור שפרעם,"3,458",5,2,"3,453",
576,כברי,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,"1,053","1,048","1,030",4,
371,כדורי,הצפון,כנרת,יישובים מוסדיים יהודיים,הגליל התחתון,גליל תחתון מזרחי,230,205,129,25,
1338,כדיתה,הצפון,צפת,יישובים קהילתיים,מרום הגליל,גליל עליון מזרחי,180,180,170,-,
3564,כוכב השחר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,053","2,053","2,053",-,
1224,כוכב יאיר,המרכז,פתח תקווה,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,דרום השרון,"8,889","8,879","8,783",11,
3779,כוכב יעקב,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מטה בנימין,,"7,687","7,687","7,684",-,
824,כוכב מיכאל,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,"1,022","1,022","1,001",-,
1252,כורזים,הצפון,צפת,יישובים כפריים אחרים יהודיים,מבואות החרמון,אזור חצור,341,340,332,-,
1210,כחל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,גליל עליון מזרחי,414,414,404,-,
1367,כחלה,הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,אל קסום,אזור באר שבע,182,-,-,182,
840,כיסופים,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,233,232,211,1,
1153,כישור,הצפון,עכו,קיבוצים,משגב,אזור יחיעם,176,175,174,1,
1183,כליל,הצפון,עכו,יישובים קהילתיים,מטה אשר,אזור יחיעם,685,679,649,5,
1229,כלנית,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מזרחי,220,220,219,-,
1331,כמאנה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור כרמיאל,"1,453",-,-,"1,453",
1291,כמהין,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,רמת נגב,הר הנגב הצפוני,176,175,161,-,
1201,כמון,הצפון,עכו,יישובים קהילתיים,משגב,אזור כרמיאל,"1,366","1,366","1,344",-,
2006,כנות,הדרום,אשקלון,יישובים מוסדיים יהודיים,באר טוביה,אזור מלאכי,433,430,367,3,
4028,כנף,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן תיכוני,459,459,457,-,
63,כנרת (מושבה),הצפון,כנרת,יישובים כפריים אחרים יהודיים,עמק הירדן,כנרות,680,670,651,10,
57,כנרת (קבוצה),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,681,681,651,-,
1059,כסיפה,הדרום,באר שבע,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,אזור באר שבע,"20,250",5,1,"20,244",
859,כסלון,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,418,418,407,-,
1296,כסרא-סמיע,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור יחיעם,"8,515",1,-,"8,513",
978,כעביה-טבאש-חג'אג'רה,הצפון,,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"5,205",13,13,"5,192",
857,כפר אביב,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,800,799,791,1,
3638,כפר אדומים,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"4,381","4,381","4,362",-,
364,כפר אוריה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,936,929,917,7,
690,כפר אחים,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,857,857,844,-,
220,כפר ביאליק,חיפה,חיפה,מושבים - לרבות כפרים שיתופיים,זבולון,אזור חיפה,871,864,836,7,
177,"כפר ביל""ו",המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גזר,אזור רחובות,"1,295","1,296","1,283",-,
357,כפר בלום,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,746,746,713,-,
2010,כפר בן נון,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,727,725,714,1,
633,כפר ברא,המרכז,פתח תקווה,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,אזור פתח תקווה,"3,489",-,-,"3,489",
132,כפר ברוך,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,עמק יזרעאל,572,572,568,-,
106,כפר גדעון,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,עמק יזרעאל,360,360,358,-,
427,כפר גלים,חיפה,חיפה,יישובים מוסדיים יהודיים,חוף הכרמל,אזור חיפה,339,329,236,10,
310,כפר גליקסון,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,291,291,288,-,
76,כפר גלעדי,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,670,670,630,1,
707,כפר דניאל,המרכז,רמלה,מושבים שיתופיים,חבל מודיעין,אזור מודיעין,725,724,712,-,
3796,כפר האורנים,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,708","2,709","2,699",-,
192,כפר החורש,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,661,662,643,-,
254,כפר המכבי,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,368,368,367,-,
582,כפר הנגיד,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,"1,216","1,216","1,201",-,
890,כפר הנוער הדתי,חיפה,חיפה,יישובים מוסדיים יהודיים,זבולון,אזור חיפה,240,240,198,-,
443,כפר הנשיא,הצפון,צפת,קיבוצים,הגליל העליון,אזור חצור,850,850,823,-,
187,כפר הס,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,"1,599","1,600","1,583",-,
217,"כפר הרא""ה",המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,499","1,499","1,498",-,
888,"כפר הרי""ף",הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,יואב,אזור מלאכי,844,844,817,-,
190,כפר ויתקין,המרכז,השרון,מושבים 4999-2000 תושבים,עמק חפר,מערב השרון,"2,005","2,003","1,986",2,
320,כפר ורבורג,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,130","1,130","1,118",-,
1263,כפר ורדים,הצפון,עכו,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור יחיעם,"5,546","5,428","5,241",119,
1325,כפר זוהרים,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,שפלת יהודה,197,197,197,-,
786,כפר זיתים,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,786,785,784,1,
696,"כפר חב""ד",המרכז,רמלה,יישובים יהודיים 9999-5000 תושבים,עמק לוד,אזור רמלה,"6,214","6,214","6,206",-,
609,כפר חושן,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,755,755,752,-,
255,כפר חיטים,הצפון,כנרת,מושבים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,635,635,628,-,
193,כפר חיים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,623,621,619,1,
1297,כפר חנניה,הצפון,צפת,יישובים קהילתיים,מרום הגליל,גליל עליון מזרחי,742,741,730,-,
112,כפר חסידים א',חיפה,חיפה,מושבים - לרבות כפרים שיתופיים,זבולון,אזור חיפה,861,852,841,9,
889,כפר חסידים ב',חיפה,חיפה,יישובים כפריים אחרים יהודיים,זבולון,אזור חיפה,439,438,227,1,
4004,כפר חרוב,הצפון,גולן,קיבוצים,גולן,גולן דרומי,400,400,396,-,
673,כפר טרומן,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,877,877,867,-,
507,כפר יאסיף,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור נהרייה,"9,867",22,7,"9,845",
233,כפר ידידיה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,743,742,738,-,
140,כפר יהושע,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,אזור יקנעם,"1,211","1,211","1,178",-,
168,כפר יונה,המרכז,השרון,יישובים יהודיים 49999-20000 תושבים,עירייה,מערב השרון,"22,537","22,529","21,962",8,
85,כפר יחזקאל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק חרוד,"1,176","1,172","1,134",4,
170,כפר יעבץ,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,665,665,663,-,
508,כפר כמא,הצפון,כנרת,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"3,284",12,9,"3,272",
509,כפר כנא,הצפון,,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,הרי נצרת-תירען,"21,967",17,10,"21,950",
387,כפר מונש,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,946,946,922,-,
1095,כפר מימון,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,346,346,346,-,
98,"כפר מל""ל",המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,321,321,315,-,
510,כפר מנדא,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"19,326",6,3,"19,320",
274,כפר מנחם,הדרום,אשקלון,קיבוצים,יואב,אזור מלאכי,"1,408","1,408","1,377",-,
297,כפר מסריק,הצפון,עכו,קיבוצים,מטה אשר,אזור עכו,821,819,803,1,
512,כפר מצר,הצפון,,יישובים לא יהודיים 4999-2000 תושבים,בוסתן אל-מרג',רמת כוכב,"2,688",2,-,"2,685",
764,כפר מרדכי,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,659,659,651,-,
316,כפר נטר,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,236","1,237","1,228",-,
345,כפר סאלד,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,616,615,590,1,
6900,כפר סבא,המרכז,פתח תקווה,יישובים יהודיים 199999-100000 תושבים,עירייה,דרום השרון,"100,039","99,879","96,280",160,
107,כפר סילבר,הדרום,אשקלון,יישובים מוסדיים יהודיים,חוף אשקלון,אזור אשקלון,289,272,223,18,
249,כפר סירקין,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,אזור פתח תקווה,"1,433","1,434","1,428",-,
875,כפר עבודה,המרכז,השרון,יישובים מוסדיים יהודיים,לב השרון,מערב השרון,240,238,238,2,
845,כפר עזה,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,712,712,693,1,
3488,כפר עציון,יהודה והשומרון,,קיבוצים,גוש עציון,,"1,145","1,103","1,103",42,
189,כפר פינס,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,"1,037","1,037","1,037",-,
634,כפר קאסם,המרכז,פתח תקווה,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"22,743",35,10,"22,708",
388,כפר קיש,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,564,559,551,5,
654,כפר קרע,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הר אלכסנדר,"18,313",23,3,"18,291",
579,כפר ראש הנקרה,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,"1,354","1,351","1,334",4,
1130,כפר רוזנואלד (זרעית),הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,264,264,264,-,
295,כפר רופין,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,442,442,431,1,
1166,כפר רות,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור מודיעין,226,226,216,-,
605,כפר שמאי,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,502,502,502,-,
743,כפר שמואל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,895,894,884,-,
267,כפר שמריהו,תל אביב,תל אביב,יישובים כפריים אחרים יהודיים,מועצה מקומית,אזור תל אביב,"1,872","1,866","1,809",6,
47,כפר תבור,הצפון,כנרת,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"4,099","4,086","3,990",13,
3572,כפר תפוח,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,166","1,166","1,166",-,
1285,כרכום,הצפון,כנרת,יישובים קהילתיים,מבואות החרמון,כנרות,529,529,526,-,
664,כרם בן זמרה,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,481,481,480,-,
88,כרם בן שמן,המרכז,רמלה,יישובים כפריים אחרים יהודיים,חבל מודיעין,אזור רמלה,89,89,89,-,
1094,כרם יבנה (ישיבה),המרכז,רחובות,יישובים מוסדיים יהודיים,חבל יבנה,אזור רחובות,499,499,499,-,
580,"כרם מהר""ל",חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,אזור זכרון יעקב,746,737,725,9,
1085,כרם שלום,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,105,96,88,9,
1264,כרמי יוסף,המרכז,רמלה,יישובים כפריים אחרים יהודיים,גזר,אזור רמלה,"1,707","1,707","1,697",-,
3766,כרמי צור,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,"1,037","1,037","1,035",-,
1374,כרמי קטיף,הדרום,אשקלון,יישובים קהילתיים,לכיש,אזור לכיש,151,151,151,-,
1139,כרמיאל,הצפון,עכו,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור כרמיאל,"45,919","44,516","37,508","1,404",
768,כרמייה,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,631,629,603,2,
1198,כרמים,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,466,466,465,-,
3656,כרמל,יהודה והשומרון,,מושבים שיתופיים,הר חברון,,422,422,422,-,
1207,לבון,הצפון,עכו,יישובים כפריים אחרים יהודיים,משגב,אזור יחיעם,696,696,690,-,
585,לביא,הצפון,כנרת,קיבוצים,הגליל התחתון,גליל תחתון מזרחי,620,620,620,-,
1230,לבנים,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,כנרות,421,419,408,1,
2023,להב,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,520,518,507,1,
380,להבות הבשן,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,869,867,814,1,
715,להבות חביבה,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,"1,007","1,007",987,-,
1271,להבים,הדרום,באר שבע,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור באר שבע,"6,392","6,222","6,107",170,
7000,לוד,המרכז,רמלה,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור רמלה,"74,604","52,025","46,086","22,578",
52,לוזית,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,723,721,712,2,
595,לוחמי הגיטאות,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,661,661,650,-,
1171,לוטם,הצפון,עכו,קיבוצים,משגב,אזור כרמיאל,747,700,693,46,
1255,לוטן,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,208,208,182,-,
674,לימן,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור נהרייה,723,717,690,6,
24,לכיש,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,731,730,727,-,
1310,לפיד,המרכז,רמלה,יישובים יהודיים 4999-2000 תושבים,חבל מודיעין,אזור מודיעין,"2,485","2,485","2,467",-,
1173,לפידות,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,123,122,121,1,
1060,לקיה,הדרום,באר שבע,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור באר שבע,"12,857",6,-,"12,851",
2055,מאור,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,"1,291","1,292","1,272",-,
102,מאיר שפיה,חיפה,חדרה,יישובים מוסדיים יהודיים,חוף הכרמל,אזור זכרון יעקב,304,266,207,38,
771,מבוא ביתר,ירושלים,ירושלים,מושבים שיתופיים,מטה יהודה,הרי יהודה,944,944,939,-,
3569,מבוא דותן,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,393,393,387,-,
3709,מבוא חורון,יהודה והשומרון,,מושבים שיתופיים 4999-2000 תושבים,מטה בנימין,,"2,589","2,589","2,589",-,
4204,מבוא חמה,הצפון,גולן,קיבוצים,גולן,גולן דרומי,398,398,388,-,
1141,מבוא מודיעים,המרכז,רמלה,יישובים קהילתיים,חבל מודיעין,אזור מודיעין,246,246,246,-,
1318,מבואות ים,המרכז,השרון,יישובים מוסדיים יהודיים,עמק חפר,מערב השרון,439,436,404,3,
1080,מבועים,הדרום,באר שבע,יישובים כפריים אחרים יהודיים,מרחבים,אזור גרר,"1,218","1,218","1,208",-,
829,מבטחים,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,427,427,421,-,
573,מבקיעים,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,445,444,439,-,
1015,מבשרת ציון,ירושלים,ירושלים,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,הרי יהודה,"24,445","24,349","23,604",96,
481,מגאר,הצפון,כנרת,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"22,261",23,13,"22,238",
516,מג'ד אל-כרום,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור כרמיאל,"15,066",23,9,"15,043",
689,מגדים,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,חוף הכרמל,"1,311","1,311","1,290",-,
65,מגדל,הצפון,כנרת,יישובים כפריים אחרים יהודיים,מועצה מקומית,כנרות,"1,887","1,841","1,793",46,
874,מגדל העמק,הצפון,יזרעאל,יישובים יהודיים 49999-20000 תושבים,עירייה,הרי נצרת-תירען,"25,371","25,362","22,797",10,
3561,מגדל עוז,יהודה והשומרון,,קיבוצים,גוש עציון,,605,604,602,-,
